week,date,client_id,brand,region,demand,supply,quantity_sold,production_volume,price_per_unit,cost_per_unit,total_revenue,profit_margin,inventory_level,min_stock_threshold,reorder_quantity,disruption_prob,emission_factor,shelf_life_days,storage_condition
17,2015-05-04,1,Amul,Gujarat,1271,1403,1123,1349,55.28,31.5,62079.44,0.4302,1200,55.31,136.12,0.0695,1.12,7,Tetra Pack
18,2015-05-11,1,Amul,Gujarat,1114,1257,991,1331,54.02,31.14,53533.82,0.4235,1200,62.26,164.28,0.0619,1.388,5,Tetra Pack
19,2015-05-18,1,Amul,Gujarat,1258,1328,1133,1468,53.61,30.9,60740.13,0.4236,1200,61.6,143.4,0.0799,1.365,7,Refrigerated
20,2015-05-25,1,Amul,Gujarat,1260,1315,1223,1318,53.92,31.51,65944.16,0.4156,1200,59.92,149.2,0.1237,1.318,3,Tetra Pack
21,2015-06-01,1,Amul,Gujarat,1050,1129,1002,1361,54.11,31.39,54218.22,0.4199,1200,55.71,154.27,0.109,1.377,3,Refrigerated
22,2015-06-08,1,Amul,Gujarat,1204,1285,1138,1494,53.28,31.08,60632.64,0.4167,1200,55.71,144.57,0.0634,1.238,7,Tetra Pack
23,2015-06-15,1,Amul,Gujarat,1206,1376,1188,1460,53.59,31.27,63664.92,0.4165,1200,62.51,159.21,0.0777,1.248,7,Tetra Pack
24,2015-06-22,1,Amul,Gujarat,1076,1262,1044,1365,53.65,31.12,56010.6,0.4199,1200,58.89,135.33,0.0983,1.282,7,Tetra Pack
25,2015-06-29,1,Amul,Gujarat,1075,1264,1003,1427,52.32,29.98,52476.96,0.427,1200,62.92,158.69,0.1497,1.425,3,Tetra Pack
26,2015-07-06,1,Amul,Gujarat,1017,1071,909,1416,52.85,30.48,48040.65,0.4233,1200,55.84,156.03,0.1423,1.358,3,Refrigerated
27,2015-07-13,1,Amul,Gujarat,1077,1219,1070,1352,52.11,30.16,55757.7,0.4212,1200,59.24,162.19,0.1541,1.508,3,Tetra Pack
28,2015-07-20,1,Amul,Gujarat,1022,1172,970,1415,52.25,30.43,50682.5,0.4176,1200,57.24,163.9,0.1406,1.28,3,Polythene Packet
29,2015-07-27,1,Amul,Gujarat,1034,1135,974,1380,52.87,30.95,51495.38,0.4146,1200,60.84,162.03,0.1467,1.237,3,Tetra Pack
30,2015-08-03,1,Amul,Gujarat,958,997,883,1300,51.63,29.99,45589.29,0.4191,1200,58.1,159.41,0.2057,1.566,5,Tetra Pack
31,2015-08-10,1,Amul,Gujarat,1159,1223,1132,1358,51.02,30.0,57754.64,0.412,1200,59.15,143.2,0.1796,1.484,3,Polythene Packet
32,2015-08-17,1,Amul,Gujarat,1008,1062,902,1303,51.83,30.22,46750.66,0.4169,1200,61.18,145.74,0.1402,1.193,3,Refrigerated
33,2015-08-24,1,Amul,Gujarat,1006,1073,952,1426,51.55,30.19,49075.6,0.4144,1200,62.04,141.39,0.1865,1.502,3,Tetra Pack
34,2015-08-31,1,Amul,Gujarat,851,957,784,1367,52.35,30.39,41042.4,0.4195,1200,63.62,163.49,0.1718,1.169,3,Polythene Packet
35,2015-09-07,1,Amul,Gujarat,983,1037,903,1389,50.89,29.72,45953.67,0.416,1200,56.82,145.37,0.1911,1.225,7,Tetra Pack
36,2015-09-14,1,Amul,Gujarat,1025,1040,912,1348,51.46,29.54,46931.52,0.426,1200,60.03,155.71,0.1696,1.19,3,Refrigerated
37,2015-09-21,1,Amul,Gujarat,1002,1119,971,1347,51.23,29.54,49744.33,0.4234,1200,61.18,146.07,0.161,1.056,5,Refrigerated
38,2015-09-28,1,Amul,Gujarat,1047,1087,977,1398,50.71,29.47,49543.67,0.4189,1200,55.2,144.66,0.0773,1.145,5,Tetra Pack
39,2015-10-05,1,Amul,Gujarat,1096,1134,1035,1388,52.31,30.5,54140.85,0.4169,1200,57.84,145.89,0.1106,1.299,5,Refrigerated
40,2015-10-12,1,Amul,Gujarat,1075,1139,966,1360,51.3,29.49,49555.8,0.4251,1200,59.1,164.47,0.102,1.221,3,Tetra Pack
41,2015-10-19,1,Amul,Gujarat,1096,1230,1037,1406,50.84,29.65,52721.08,0.4168,1200,58.24,147.76,0.0773,1.384,5,Tetra Pack
42,2015-10-26,1,Amul,Gujarat,972,998,911,1411,51.44,29.85,46861.84,0.4197,1200,55.63,164.7,0.0678,1.267,5,Refrigerated
43,2015-11-02,1,Amul,Gujarat,963,1007,895,1511,52.17,30.2,46692.15,0.4211,1200,64.38,140.44,0.0851,1.245,3,Refrigerated
44,2015-11-09,1,Amul,Gujarat,1084,1143,975,1421,52.2,30.15,50895.0,0.4224,1200,58.59,161.32,0.095,1.568,5,Refrigerated
45,2015-11-16,1,Amul,Gujarat,995,1136,935,1347,52.31,30.27,48909.85,0.4213,1200,64.06,153.73,0.1211,1.059,3,Polythene Packet
46,2015-11-23,1,Amul,Gujarat,1180,1310,1113,1451,52.39,30.46,58310.07,0.4186,1200,57.48,157.32,0.1044,1.219,3,Refrigerated
47,2015-11-30,1,Amul,Gujarat,1096,1277,984,1377,52.85,30.38,52004.4,0.4252,1200,61.94,151.28,0.0744,1.478,5,Tetra Pack
48,2015-12-07,1,Amul,Gujarat,1204,1313,1147,1517,52.7,30.78,60446.9,0.4159,1200,62.07,139.58,0.1134,1.35,5,Refrigerated
49,2015-12-14,1,Amul,Gujarat,1058,1141,945,1429,52.85,30.98,49943.25,0.4138,1200,55.55,145.06,0.1078,1.505,7,Tetra Pack
50,2015-12-21,1,Amul,Gujarat,981,1055,904,1426,52.83,31.14,47758.32,0.4106,1200,56.41,140.29,0.0904,1.138,5,Tetra Pack
51,2015-12-28,1,Amul,Gujarat,1184,1238,1178,1426,53.05,30.44,62492.9,0.4262,1200,55.67,157.5,0.0669,1.32,5,Polythene Packet
52,2016-01-04,1,Amul,Gujarat,1085,1341,963,1346,53.05,31.22,51087.15,0.4115,1200,59.01,151.79,0.0772,1.446,3,Tetra Pack
53,2016-01-11,1,Amul,Gujarat,1081,1151,971,1391,53.83,31.6,52268.93,0.413,1200,55.2,138.12,0.1022,1.185,7,Tetra Pack
54,2016-01-18,1,Amul,Gujarat,1215,1370,1193,1350,53.35,31.29,63646.55,0.4135,1200,57.93,161.89,0.0967,1.393,3,Tetra Pack
55,2016-01-25,1,Amul,Gujarat,1071,1099,991,1362,52.92,30.88,52443.72,0.4165,1200,60.52,148.08,0.0698,1.525,5,Polythene Packet
56,2016-02-01,1,Amul,Gujarat,1216,1389,1186,1399,53.67,31.11,63652.62,0.4203,1200,61.33,142.74,0.0763,1.11,3,Refrigerated
57,2016-02-08,1,Amul,Gujarat,1230,1254,1164,1430,54.51,31.76,63449.64,0.4174,1200,61.01,154.95,0.0606,1.43,3,Polythene Packet
58,2016-02-15,1,Amul,Gujarat,1110,1179,1057,1402,53.82,30.79,56887.74,0.4279,1200,62.19,143.91,0.1152,1.161,5,Tetra Pack
59,2016-02-22,1,Amul,Gujarat,1237,1390,1096,1329,55.51,32.17,60838.96,0.4205,1200,56.07,137.25,0.0748,1.231,7,Tetra Pack
60,2016-02-29,1,Amul,Gujarat,1375,1533,1324,1427,54.64,31.22,72343.36,0.4286,1200,64.17,139.1,0.0788,1.286,7,Tetra Pack
61,2016-03-07,1,Amul,Gujarat,1129,1288,1082,1434,54.82,31.93,59315.24,0.4175,1200,57.21,164.63,0.0653,1.114,7,Tetra Pack
62,2016-03-14,1,Amul,Gujarat,1257,1426,1111,1409,53.92,31.59,59905.12,0.4141,1200,63.62,160.34,0.0729,1.396,5,Refrigerated
63,2016-03-21,1,Amul,Gujarat,1207,1263,1167,1467,54.4,31.42,63484.8,0.4224,1200,58.19,153.78,0.0629,1.336,7,Refrigerated
64,2016-03-28,1,Amul,Gujarat,1330,1535,1234,1373,55.65,32.17,68672.1,0.4219,1200,59.21,157.13,0.0625,1.487,5,Tetra Pack
65,2016-04-04,1,Amul,Gujarat,1186,1172,1140,1340,54.98,31.82,62677.2,0.4212,1200,61.13,140.01,0.1003,1.401,7,Tetra Pack
66,2016-04-11,1,Amul,Gujarat,1296,1329,1167,1409,54.14,31.23,63181.38,0.4232,1200,55.58,164.07,0.065,1.456,7,Polythene Packet
67,2016-04-18,1,Amul,Gujarat,1207,1330,1094,1380,54.5,31.16,59623.0,0.4283,1200,55.91,161.32,0.1026,1.536,5,Tetra Pack
68,2016-04-25,1,Amul,Gujarat,1274,1346,1183,1411,53.64,30.89,63456.12,0.4241,1200,55.81,141.61,0.0686,1.529,5,Tetra Pack
69,2016-05-02,1,Amul,Gujarat,1335,1540,1230,1424,54.58,32.21,67133.4,0.4099,1200,62.97,154.75,0.0605,1.269,7,Polythene Packet
70,2016-05-09,1,Amul,Gujarat,1272,1448,1234,1476,54.04,31.39,66685.36,0.4191,1200,56.61,159.54,0.0846,1.219,7,Tetra Pack
71,2016-05-16,1,Amul,Gujarat,1226,1391,1158,1342,53.84,31.29,62346.72,0.4188,1200,64.63,145.26,0.0657,1.502,5,Polythene Packet
72,2016-05-23,1,Amul,Gujarat,1226,1321,1164,1414,54.45,31.12,63379.8,0.4285,1200,62.58,135.74,0.0734,1.36,3,Tetra Pack
73,2016-05-30,1,Amul,Gujarat,1194,1192,1193,1379,52.97,30.06,63193.21,0.4325,1200,61.94,141.62,0.107,1.261,3,Refrigerated
74,2016-06-06,1,Amul,Gujarat,1256,1351,1247,1346,54.46,31.27,67911.62,0.4258,1200,64.84,147.28,0.0984,1.237,7,Tetra Pack
75,2016-06-13,1,Amul,Gujarat,1288,1430,1162,1400,53.53,31.18,62201.86,0.4175,1200,62.61,153.79,0.0975,1.373,3,Tetra Pack
76,2016-06-20,1,Amul,Gujarat,1215,1272,1087,1406,52.84,31.19,57437.08,0.4097,1200,55.64,152.46,0.0659,1.141,5,Refrigerated
77,2016-06-27,1,Amul,Gujarat,994,1078,931,1374,52.21,30.51,48607.51,0.4156,1200,62.8,136.19,0.0734,1.366,5,Tetra Pack
78,2016-07-04,1,Amul,Gujarat,1014,1119,893,1479,52.92,30.08,47257.56,0.4316,1200,55.33,137.36,0.1401,1.246,5,Tetra Pack
79,2016-07-11,1,Amul,Gujarat,1144,1177,1021,1361,53.34,31.21,54460.14,0.4149,1200,62.09,161.13,0.1939,1.261,7,Refrigerated
80,2016-07-18,1,Amul,Gujarat,1037,1108,1014,1433,53.51,30.83,54259.14,0.4238,1200,55.82,136.81,0.1715,1.358,5,Tetra Pack
81,2016-07-25,1,Amul,Gujarat,1100,1114,1072,1367,52.29,30.97,56054.88,0.4077,1200,57.28,164.89,0.1496,1.382,7,Refrigerated
82,2016-08-01,1,Amul,Gujarat,973,1103,941,1386,51.91,30.58,48847.31,0.4109,1200,64.88,136.2,0.1584,1.156,7,Refrigerated
83,2016-08-08,1,Amul,Gujarat,1007,965,957,1357,52.74,31.0,50472.18,0.4122,1192,62.16,162.27,0.1905,1.386,3,Tetra Pack
84,2016-08-15,1,Amul,Gujarat,1127,1199,1061,1446,52.45,29.9,55649.45,0.4299,1200,64.69,142.74,0.1408,1.194,5,Tetra Pack
85,2016-08-22,1,Amul,Gujarat,1053,1031,935,1380,51.8,29.66,48433.0,0.4274,1200,59.31,142.46,0.154,1.272,5,Refrigerated
86,2016-08-29,1,Amul,Gujarat,990,1109,927,1452,51.86,30.21,48074.22,0.4175,1200,57.06,138.36,0.1505,1.359,5,Tetra Pack
87,2016-09-05,1,Amul,Gujarat,1017,1075,1008,1342,51.64,29.35,52053.12,0.4316,1200,59.55,150.47,0.1618,1.374,5,Refrigerated
88,2016-09-12,1,Amul,Gujarat,925,998,863,1358,51.45,29.91,44401.35,0.4187,1200,64.45,155.5,0.1732,1.394,5,Refrigerated
89,2016-09-19,1,Amul,Gujarat,1090,1179,1047,1417,51.83,29.72,54266.01,0.4266,1200,56.07,154.74,0.146,1.192,7,Tetra Pack
90,2016-09-26,1,Amul,Gujarat,1032,1127,999,1466,51.38,30.09,51328.62,0.4144,1200,63.08,157.87,0.1419,1.181,7,Tetra Pack
91,2016-10-03,1,Amul,Gujarat,1053,1079,1014,1334,51.02,28.95,51734.28,0.4326,1200,57.27,137.2,0.0645,1.154,5,Refrigerated
92,2016-10-10,1,Amul,Gujarat,1226,1343,1149,1464,50.85,29.0,58426.65,0.4297,1200,61.08,157.95,0.0806,1.609,7,Refrigerated
93,2016-10-17,1,Amul,Gujarat,1073,1160,957,1437,50.75,29.41,48567.75,0.4205,1200,63.03,151.17,0.0828,1.184,5,Refrigerated
94,2016-10-24,1,Amul,Gujarat,1133,1226,1089,1401,51.72,29.6,56323.08,0.4277,1200,60.67,142.7,0.0897,1.356,7,Tetra Pack
95,2016-10-31,1,Amul,Gujarat,1174,1316,1117,1421,51.79,30.05,57849.43,0.4198,1200,61.11,147.33,0.0667,1.234,7,Polythene Packet
96,2016-11-07,1,Amul,Gujarat,1019,1156,948,1381,51.54,29.98,48859.92,0.4183,1200,60.87,140.04,0.0973,1.577,7,Polythene Packet
97,2016-11-14,1,Amul,Gujarat,1075,1253,1016,1493,51.73,29.59,52557.68,0.428,1200,64.88,139.09,0.0656,1.623,5,Tetra Pack
98,2016-11-21,1,Amul,Gujarat,1053,1158,999,1380,51.96,30.08,51908.04,0.4211,1200,57.27,145.65,0.1103,1.2,3,Tetra Pack
99,2016-11-28,1,Amul,Gujarat,985,1108,905,1517,52.92,30.33,47892.6,0.4269,1200,59.65,136.8,0.067,1.364,5,Polythene Packet
100,2016-12-05,1,Amul,Gujarat,1017,1058,949,1417,52.1,30.59,49442.9,0.4129,1200,64.27,142.04,0.0762,1.388,5,Tetra Pack
101,2016-12-12,1,Amul,Gujarat,1117,1169,1084,1420,52.71,30.53,57137.64,0.4208,1200,55.36,144.09,0.0964,1.434,5,Tetra Pack
102,2016-12-19,1,Amul,Gujarat,1160,1383,1092,1352,52.82,30.89,57679.44,0.4152,1200,58.81,161.34,0.1151,1.311,7,Refrigerated
103,2016-12-26,1,Amul,Gujarat,1214,1255,1169,1397,53.01,30.74,61968.69,0.4201,1200,56.33,160.86,0.08,1.373,7,Tetra Pack
104,2017-01-02,1,Amul,Gujarat,1194,1144,1071,1412,52.88,30.61,56634.48,0.4211,1200,64.66,147.97,0.1017,1.384,5,Tetra Pack
105,2017-01-09,1,Amul,Gujarat,1153,1289,1104,1351,53.25,31.33,58788.0,0.4116,1200,64.84,142.18,0.0882,1.277,3,Tetra Pack
106,2017-01-16,1,Amul,Gujarat,1154,1263,1153,1380,53.75,31.53,61973.75,0.4134,1200,60.27,147.78,0.0784,1.137,3,Polythene Packet
107,2017-01-23,1,Amul,Gujarat,1174,1347,1136,1395,53.41,30.2,60673.76,0.4346,1200,60.35,141.46,0.101,1.367,3,Tetra Pack
108,2017-01-30,1,Amul,Gujarat,1251,1258,1227,1518,53.84,30.95,66061.68,0.4251,1200,62.37,149.28,0.0605,1.206,5,Tetra Pack
109,2017-02-06,1,Amul,Gujarat,1206,1377,1124,1357,54.33,31.37,61066.92,0.4226,1200,61.59,161.85,0.1041,1.248,5,Refrigerated
110,2017-02-13,1,Amul,Gujarat,1173,1295,1127,1502,53.94,31.34,60790.38,0.419,1200,58.5,158.24,0.061,1.196,5,Tetra Pack
111,2017-02-20,1,Amul,Gujarat,1300,1450,1203,1476,54.07,31.29,65046.21,0.4213,1200,61.44,150.91,0.0956,1.386,3,Polythene Packet
112,2017-02-27,1,Amul,Gujarat,1325,1536,1284,1503,54.6,31.99,70106.4,0.4141,1200,64.28,141.74,0.0793,1.215,5,Tetra Pack
113,2017-03-06,1,Amul,Gujarat,1169,1232,1056,1392,54.56,31.89,57615.36,0.4155,1200,63.61,160.4,0.1217,1.254,7,Tetra Pack
114,2017-03-13,1,Amul,Gujarat,1390,1578,1332,1455,54.55,31.25,72660.6,0.4271,1200,63.18,141.41,0.0675,1.235,5,Refrigerated
115,2017-03-20,1,Amul,Gujarat,1401,1422,1327,1423,54.87,31.94,72812.49,0.4179,1200,56.6,148.85,0.0693,1.395,3,Tetra Pack
116,2017-03-27,1,Amul,Gujarat,1198,1330,1159,1353,53.9,31.4,62470.1,0.4174,1200,60.54,135.16,0.0663,1.24,7,Tetra Pack
117,2017-04-03,1,Amul,Gujarat,1332,1367,1195,1364,54.85,31.7,65545.75,0.4221,1200,63.86,152.79,0.0835,1.269,5,Tetra Pack
118,2017-04-10,1,Amul,Gujarat,1379,1506,1293,1373,54.17,31.47,70041.81,0.4191,1200,60.61,153.1,0.1058,1.562,5,Refrigerated
119,2017-04-17,1,Amul,Gujarat,1230,1410,1186,1387,54.45,32.02,64577.7,0.4119,1200,58.28,148.02,0.0834,1.293,3,Tetra Pack
120,2017-04-24,1,Amul,Gujarat,1319,1441,1227,1441,54.94,32.04,67411.38,0.4168,1200,63.4,146.51,0.1054,1.206,5,Refrigerated
121,2017-05-01,1,Amul,Gujarat,1171,1250,1103,1457,54.4,31.51,60003.2,0.4208,1200,63.73,160.26,0.0747,1.124,3,Refrigerated
122,2017-05-08,1,Amul,Gujarat,1023,1125,961,1398,54.95,31.73,52806.95,0.4226,1200,61.1,139.06,0.0951,1.375,7,Refrigerated
123,2017-05-15,1,Amul,Gujarat,1226,1368,1115,1413,54.45,31.34,60711.75,0.4244,1200,55.65,149.63,0.063,1.28,3,Tetra Pack
124,2017-05-22,1,Amul,Gujarat,1302,1415,1233,1413,53.07,30.62,65435.31,0.423,1200,56.98,151.96,0.1327,1.176,5,Polythene Packet
125,2017-05-29,1,Amul,Gujarat,1313,1397,1194,1388,53.8,31.55,64237.2,0.4136,1200,63.6,156.68,0.1085,1.329,3,Refrigerated
126,2017-06-05,1,Amul,Gujarat,1214,1249,1206,1417,53.75,31.45,64822.5,0.4149,1186,61.51,151.36,0.0848,1.196,3,Tetra Pack
127,2017-06-12,1,Amul,Gujarat,1303,1392,1187,1453,53.12,30.52,63053.44,0.4255,1200,57.05,161.33,0.0655,1.508,7,Polythene Packet
128,2017-06-19,1,Amul,Gujarat,1055,1153,1043,1388,53.09,31.75,55372.87,0.402,1200,63.22,146.41,0.0688,1.224,7,Polythene Packet
129,2017-06-26,1,Amul,Gujarat,1050,1175,1003,1491,52.78,31.0,52938.34,0.4127,1200,56.58,155.88,0.0634,1.415,7,Tetra Pack
130,2017-07-03,1,Amul,Gujarat,1095,1189,983,1444,53.85,30.91,52934.55,0.426,1200,64.67,147.53,0.15,1.499,7,Refrigerated
131,2017-07-10,1,Amul,Gujarat,1148,1148,1011,1390,53.23,31.65,53815.53,0.4054,1200,55.79,156.94,0.1719,1.373,3,Polythene Packet
132,2017-07-17,1,Amul,Gujarat,1206,1273,1180,1315,51.41,29.64,60663.8,0.4235,1200,58.35,140.21,0.1451,1.326,7,Refrigerated
133,2017-07-24,1,Amul,Gujarat,1058,1092,1026,1311,52.91,31.14,54285.66,0.4115,1200,59.71,164.37,0.1472,1.278,5,Tetra Pack
134,2017-07-31,1,Amul,Gujarat,1170,1217,1147,1428,52.58,30.09,60309.26,0.4277,1200,58.05,141.38,0.1754,1.568,3,Tetra Pack
135,2017-08-07,1,Amul,Gujarat,1079,1195,1035,1439,52.21,30.21,54037.35,0.4214,1200,56.11,148.41,0.1554,1.559,5,Polythene Packet
136,2017-08-14,1,Amul,Gujarat,1122,1168,993,1352,52.04,30.24,51675.72,0.4189,1200,57.92,162.32,0.2052,1.289,7,Refrigerated
137,2017-08-21,1,Amul,Gujarat,1133,1244,1012,1387,51.95,30.68,52573.4,0.4094,1200,55.12,149.06,0.1681,1.292,5,Refrigerated
138,2017-08-28,1,Amul,Gujarat,953,1038,906,1448,51.62,29.89,46767.72,0.421,1200,55.64,159.94,0.1716,1.474,5,Tetra Pack
139,2017-09-04,1,Amul,Gujarat,1073,1179,999,1535,51.27,29.19,51218.73,0.4307,1200,63.93,148.3,0.1693,1.499,5,Refrigerated
140,2017-09-11,1,Amul,Gujarat,1089,1092,1008,1403,52.63,30.47,53051.04,0.4211,1200,62.44,150.19,0.1892,1.404,5,Tetra Pack
141,2017-09-18,1,Amul,Gujarat,922,969,833,1308,50.76,29.67,42283.08,0.4155,1200,55.06,135.23,0.1623,1.158,5,Tetra Pack
142,2017-09-25,1,Amul,Gujarat,967,1063,885,1542,51.42,30.03,45506.7,0.416,1200,56.14,145.36,0.1493,1.24,5,Polythene Packet
143,2017-10-02,1,Amul,Gujarat,1059,1120,982,1386,50.61,28.88,49699.02,0.4294,1200,61.08,144.28,0.117,1.384,7,Polythene Packet
144,2017-10-09,1,Amul,Gujarat,1079,1190,1038,1398,51.41,29.55,53363.58,0.4252,1200,56.21,147.57,0.0745,1.229,7,Tetra Pack
145,2017-10-16,1,Amul,Gujarat,1020,1193,941,1485,51.55,29.9,48508.55,0.42,1200,61.13,161.21,0.0667,1.341,7,Tetra Pack
146,2017-10-23,1,Amul,Gujarat,1087,1081,1019,1393,51.4,29.84,52376.6,0.4195,1200,58.43,156.88,0.0943,1.196,5,Refrigerated
147,2017-10-30,1,Amul,Gujarat,1228,1285,1196,1374,52.46,30.35,62742.16,0.4215,1200,64.17,147.93,0.0794,1.347,5,Refrigerated
148,2017-11-06,1,Amul,Gujarat,962,986,865,1494,51.32,29.7,44391.8,0.4213,1200,56.54,135.76,0.0991,1.413,5,Refrigerated
149,2017-11-13,1,Amul,Gujarat,1089,1258,1037,1371,51.39,29.63,53291.43,0.4234,1200,61.88,139.22,0.0769,1.349,5,Tetra Pack
150,2017-11-20,1,Amul,Gujarat,1118,1157,986,1411,52.02,30.65,51291.72,0.4108,1200,56.16,163.68,0.0764,1.28,5,Polythene Packet
151,2017-11-27,1,Amul,Gujarat,1160,1169,1068,1353,51.71,30.03,55226.28,0.4193,1200,62.62,160.01,0.0952,1.587,5,Tetra Pack
152,2017-12-04,1,Amul,Gujarat,1062,1083,1057,1386,51.48,30.08,54414.36,0.4157,1200,59.44,153.79,0.0836,1.345,5,Tetra Pack
153,2017-12-11,1,Amul,Gujarat,1283,1369,1135,1365,53.96,30.85,61244.6,0.4283,1200,60.33,161.1,0.093,1.375,3,Refrigerated
154,2017-12-18,1,Amul,Gujarat,1113,1213,1110,1375,53.38,30.94,59251.8,0.4204,1200,57.86,141.1,0.0681,1.465,7,Tetra Pack
155,2017-12-25,1,Amul,Gujarat,1407,1588,1367,1404,53.28,30.93,72833.76,0.4195,1200,63.54,148.17,0.1241,1.307,7,Polythene Packet
156,2018-01-01,1,Amul,Gujarat,935,1140,903,1418,52.79,30.74,47669.37,0.4177,1200,63.04,143.36,0.0778,1.15,5,Polythene Packet
157,2018-01-08,1,Amul,Gujarat,1226,1367,1099,1462,53.76,31.41,59082.24,0.4157,1200,63.46,153.41,0.0886,1.403,3,Tetra Pack
158,2018-01-15,1,Amul,Gujarat,1140,1240,1018,1407,52.59,30.57,53536.62,0.4187,1200,62.95,156.21,0.0649,1.215,3,Tetra Pack
159,2018-01-22,1,Amul,Gujarat,1152,1300,1142,1394,54.11,31.33,61793.62,0.421,1200,57.26,154.21,0.1082,1.081,7,Refrigerated
160,2018-01-29,1,Amul,Gujarat,1121,1218,1046,1475,54.75,32.13,57268.5,0.4132,1200,57.42,156.42,0.1008,1.261,7,Refrigerated
161,2018-02-05,1,Amul,Gujarat,1464,1550,1375,1471,53.65,30.99,73768.75,0.4224,1200,62.49,144.53,0.0918,1.337,3,Tetra Pack
162,2018-02-12,1,Amul,Gujarat,1267,1337,1130,1487,53.45,30.76,60398.5,0.4245,1200,62.89,161.76,0.0698,1.419,5,Polythene Packet
163,2018-02-19,1,Amul,Gujarat,1255,1371,1162,1528,54.95,32.15,63851.9,0.4149,1200,64.66,157.83,0.0717,1.463,7,Refrigerated
164,2018-02-26,1,Amul,Gujarat,1246,1336,1150,1439,54.33,31.69,62479.5,0.4167,1200,57.09,146.06,0.0785,1.04,5,Tetra Pack
165,2018-03-05,1,Amul,Gujarat,1394,1503,1336,1457,54.92,31.83,73373.12,0.4204,1200,61.08,143.86,0.0736,1.186,3,Refrigerated
166,2018-03-12,1,Amul,Gujarat,1372,1589,1240,1395,54.29,31.67,67319.6,0.4167,1200,56.12,150.48,0.0861,1.298,5,Refrigerated
167,2018-03-19,1,Amul,Gujarat,1206,1370,1147,1320,54.48,31.52,62488.56,0.4214,1200,61.78,144.36,0.0669,1.379,7,Refrigerated
168,2018-03-26,1,Amul,Gujarat,1288,1396,1174,1444,54.55,32.1,64041.7,0.4115,1200,55.01,143.99,0.0732,1.139,5,Polythene Packet
169,2018-04-02,1,Amul,Gujarat,1320,1313,1209,1392,54.44,31.08,65817.96,0.4291,1200,55.58,163.73,0.0652,1.512,7,Refrigerated
170,2018-04-09,1,Amul,Gujarat,1317,1435,1194,1407,54.27,31.38,64798.38,0.4218,1200,60.78,139.41,0.0606,1.379,7,Refrigerated
171,2018-04-16,1,Amul,Gujarat,1213,1353,1109,1417,54.9,31.82,60884.1,0.4204,1200,56.47,135.24,0.1074,1.34,5,Tetra Pack
