week,date,client_id,brand,region,demand,supply,quantity_sold,production_volume,price_per_unit,cost_per_unit,total_revenue,profit_margin,inventory_level,min_stock_threshold,reorder_quantity,disruption_prob,emission_factor,shelf_life_days,storage_condition
25,2015-06-29,2,Mother Dairy,Delhi,1442,1161,1192,552,55.23,34.48,65834.16,0.3757,10,67.32,170.44,0.5385,1.746,3,Tetra Pack
26,2015-07-06,2,Mother Dairy,Delhi,1402,1097,1016,595,53.64,33.05,54498.24,0.3839,105,65.0,182.89,0.3058,1.735,3,Tetra Pack
27,2015-07-13,2,Mother Dairy,Delhi,1269,997,1003,665,54.89,33.99,55054.67,0.3808,32,66.57,177.79,0.296,1.607,2,Tetra Pack
28,2015-07-20,2,Mother Dairy,Delhi,1336,1204,1090,594,54.79,34.06,59721.1,0.3784,87,66.36,191.63,0.3431,1.952,2,Refrigerated
29,2015-07-27,2,Mother Dairy,Delhi,1445,1129,1145,696,53.61,33.6,61383.45,0.3733,46,74.15,167.73,0.3572,1.831,2,Tetra Pack
30,2015-08-03,2,Mother Dairy,Delhi,1237,1176,1196,611,54.08,33.63,64679.68,0.3781,114,74.19,192.0,0.3541,1.686,2,Tetra Pack
31,2015-08-10,2,Mother Dairy,Delhi,1155,1041,1026,547,53.03,33.03,54408.78,0.3771,113,67.7,188.05,0.3484,1.837,3,Tetra Pack
32,2015-08-17,2,Mother Dairy,Delhi,1044,889,962,691,53.76,33.27,51717.12,0.3811,48,70.3,175.43,0.3671,2.174,2,Tetra Pack
33,2015-08-24,2,Mother Dairy,Delhi,1226,1026,997,492,52.68,32.91,52521.96,0.3753,103,69.18,192.33,0.3525,1.929,3,Tetra Pack
34,2015-08-31,2,Mother Dairy,Delhi,1288,965,1050,631,53.62,32.9,56301.0,0.3864,0,65.35,177.28,0.3301,1.99,1,Refrigerated
35,2015-09-07,2,Mother Dairy,Delhi,1435,1353,1259,612,52.58,32.33,66198.22,0.3851,23,69.4,167.73,0.28,2.157,2,Tetra Pack
36,2015-09-14,2,Mother Dairy,Delhi,1134,820,787,670,52.3,32.48,41160.1,0.379,0,65.36,179.94,0.2888,1.591,2,Tetra Pack
37,2015-09-21,2,Mother Dairy,Delhi,1339,1151,1042,501,52.91,32.67,55132.22,0.3825,122,70.34,169.32,0.3134,1.728,1,Refrigerated
38,2015-09-28,2,Mother Dairy,Delhi,1215,951,955,656,52.7,32.5,50328.5,0.3833,174,67.64,165.36,0.1393,1.675,2,Tetra Pack
39,2015-10-05,2,Mother Dairy,Delhi,1401,1347,1372,609,52.5,32.32,72030.0,0.3844,149,72.44,180.1,0.1246,1.514,1,Refrigerated
40,2015-10-12,2,Mother Dairy,Delhi,1454,1404,1426,585,54.1,33.62,77146.6,0.3786,126,68.13,187.61,0.1509,2.016,1,Tetra Pack
41,2015-10-19,2,Mother Dairy,Delhi,1438,1254,1261,513,53.5,32.95,67463.5,0.3841,109,68.86,194.46,0.1405,1.535,2,Tetra Pack
42,2015-10-26,2,Mother Dairy,Delhi,1287,1031,1010,463,53.86,34.45,54398.6,0.3604,92,67.51,170.21,0.129,1.907,3,Refrigerated
43,2015-11-02,2,Mother Dairy,Delhi,1267,1111,1155,598,53.98,33.48,62346.9,0.3798,60,72.92,168.82,0.156,1.747,2,Tetra Pack
44,2015-11-09,2,Mother Dairy,Delhi,1309,1236,1160,590,53.33,33.41,61862.8,0.3735,168,70.66,179.15,0.163,1.601,2,Refrigerated
45,2015-11-16,2,Mother Dairy,Delhi,1355,1191,1258,724,53.87,33.06,67768.46,0.3863,98,72.64,172.75,0.1329,1.633,2,Polythene Packet
46,2015-11-23,2,Mother Dairy,Delhi,1497,1329,1324,576,53.86,33.68,71310.64,0.3747,141,70.86,175.72,0.1639,2.006,2,Tetra Pack
47,2015-11-30,2,Mother Dairy,Delhi,1482,1257,1274,486,53.79,32.82,68528.46,0.3898,126,74.44,166.26,0.1384,2.153,2,Tetra Pack
48,2015-12-07,2,Mother Dairy,Delhi,1452,1327,1392,607,54.23,33.6,75488.16,0.3804,59,65.29,185.69,0.1758,1.984,2,Tetra Pack
49,2015-12-14,2,Mother Dairy,Delhi,1576,1427,1417,614,55.54,33.85,78700.18,0.3905,29,74.17,169.02,0.2156,2.079,2,Tetra Pack
50,2015-12-21,2,Mother Dairy,Delhi,1397,1310,1249,503,54.99,34.08,68682.51,0.3803,107,72.25,185.94,0.1338,2.0,1,Tetra Pack
51,2015-12-28,2,Mother Dairy,Delhi,1435,1273,1237,600,55.63,33.96,68814.31,0.3895,164,72.81,187.66,0.1585,1.79,2,Tetra Pack
52,2016-01-04,2,Mother Dairy,Delhi,1652,1520,1496,622,55.22,33.98,82609.12,0.3846,226,69.44,182.13,0.1873,1.847,2,Tetra Pack
53,2016-01-11,2,Mother Dairy,Delhi,1559,1548,1402,717,54.8,33.82,76829.6,0.3828,387,71.09,184.31,0.1769,1.659,1,Refrigerated
54,2016-01-18,2,Mother Dairy,Delhi,1434,1371,1421,576,56.09,34.65,79703.89,0.3822,350,67.75,189.72,0.1986,1.566,1,Tetra Pack
55,2016-01-25,2,Mother Dairy,Delhi,1430,1313,1404,676,56.0,34.2,78624.0,0.3893,250,70.57,184.85,0.1836,1.832,2,Refrigerated
56,2016-02-01,2,Mother Dairy,Delhi,1589,1299,1377,650,56.94,34.68,78406.38,0.3909,208,71.44,174.98,0.1556,1.662,2,Tetra Pack
57,2016-02-08,2,Mother Dairy,Delhi,1830,1570,1765,709,56.5,35.4,99722.5,0.3735,0,68.4,179.3,0.16,1.715,1,Tetra Pack
58,2016-02-15,2,Mother Dairy,Delhi,1714,1748,1578,535,56.83,34.72,89677.74,0.3891,251,67.87,176.01,0.1227,1.813,1,Tetra Pack
59,2016-02-22,2,Mother Dairy,Delhi,1619,1364,1590,669,55.68,34.48,88531.2,0.3807,0,70.64,168.44,0.131,1.89,3,Tetra Pack
60,2016-02-29,2,Mother Dairy,Delhi,1541,1366,1320,691,56.35,35.14,74382.0,0.3764,32,74.76,172.7,0.1857,1.686,2,Tetra Pack
61,2016-03-07,2,Mother Dairy,Delhi,1442,1413,1363,606,56.83,35.18,77459.29,0.381,99,73.59,171.85,0.1871,1.855,1,Tetra Pack
62,2016-03-14,2,Mother Dairy,Delhi,1810,1495,1499,588,57.1,35.54,85592.9,0.3776,112,68.7,187.22,0.1464,1.352,2,Refrigerated
63,2016-03-21,2,Mother Dairy,Delhi,1739,1387,1454,578,56.56,34.95,82238.24,0.3821,53,67.26,183.36,0.1638,1.822,2,Tetra Pack
64,2016-03-28,2,Mother Dairy,Delhi,1655,1435,1324,649,56.92,35.47,75362.08,0.3768,205,68.24,186.48,0.2149,1.908,1,Tetra Pack
65,2016-04-04,2,Mother Dairy,Delhi,1664,1534,1569,614,55.95,35.33,87785.55,0.3685,161,71.03,194.58,0.1357,1.463,3,Refrigerated
66,2016-04-11,2,Mother Dairy,Delhi,1809,1633,1785,670,57.83,35.41,103226.55,0.3877,13,67.45,187.38,0.1241,1.837,2,Tetra Pack
67,2016-04-18,2,Mother Dairy,Delhi,1858,1674,1609,462,56.22,34.73,90457.98,0.3822,78,72.34,177.33,0.1341,1.928,2,Tetra Pack
68,2016-04-25,2,Mother Dairy,Delhi,1435,1190,1191,603,56.74,35.16,67577.34,0.3803,81,71.59,177.05,0.1753,1.954,3,Tetra Pack
69,2016-05-02,2,Mother Dairy,Delhi,1817,1676,1582,627,56.18,34.53,88876.76,0.3854,195,65.32,167.28,0.1514,1.75,1,Tetra Pack
70,2016-05-09,2,Mother Dairy,Delhi,1593,1442,1479,601,56.67,34.91,83814.93,0.384,189,72.28,165.0,0.1549,2.005,3,Refrigerated
71,2016-05-16,2,Mother Dairy,Delhi,1848,1862,1731,520,57.32,35.54,99220.92,0.38,331,74.09,193.26,0.156,2.076,1,Tetra Pack
72,2016-05-23,2,Mother Dairy,Delhi,1640,1560,1495,781,56.59,35.02,84602.05,0.3812,439,69.76,168.68,0.1637,1.706,3,Tetra Pack
73,2016-05-30,2,Mother Dairy,Delhi,1763,1594,1697,539,56.55,34.74,95965.35,0.3857,368,69.93,192.45,0.1587,2.02,2,Tetra Pack
74,2016-06-06,2,Mother Dairy,Delhi,1486,1228,1361,659,55.35,34.65,75331.35,0.374,215,72.75,168.89,0.1513,1.738,2,Tetra Pack
75,2016-06-13,2,Mother Dairy,Delhi,1732,1557,1582,600,55.25,34.03,87405.5,0.3841,196,71.64,176.43,0.1711,1.484,2,Tetra Pack
76,2016-06-20,2,Mother Dairy,Delhi,1354,1219,1344,554,55.01,34.18,73933.44,0.3787,85,71.11,189.61,0.1378,1.955,2,Tetra Pack
77,2016-06-27,2,Mother Dairy,Delhi,1611,1463,1529,605,55.12,34.26,84278.48,0.3784,17,73.47,180.15,0.2672,1.541,2,Tetra Pack
78,2016-07-04,2,Mother Dairy,Delhi,1360,1054,987,536,54.31,34.1,53603.97,0.3721,56,73.05,176.1,0.3126,1.885,2,Refrigerated
79,2016-07-11,2,Mother Dairy,Delhi,1414,1113,1160,577,54.14,33.77,62802.4,0.3762,40,71.96,187.97,0.2853,1.757,2,Refrigerated
80,2016-07-18,2,Mother Dairy,Delhi,1364,1344,1288,561,54.52,33.99,70221.76,0.3766,113,71.51,190.69,0.3343,1.938,1,Tetra Pack
81,2016-07-25,2,Mother Dairy,Delhi,1435,1295,1266,631,54.29,33.91,68731.14,0.3754,180,69.19,170.82,0.2824,1.871,1,Tetra Pack
82,2016-08-01,2,Mother Dairy,Delhi,1398,1319,1262,623,53.81,33.31,67908.22,0.381,213,73.76,173.94,0.3394,2.168,1,Tetra Pack
83,2016-08-08,2,Mother Dairy,Delhi,1495,1240,1374,469,54.06,33.24,74278.44,0.3851,78,69.88,165.68,0.3638,1.828,2,Tetra Pack
84,2016-08-15,2,Mother Dairy,Delhi,1410,1066,1080,557,53.52,32.76,57801.6,0.3879,77,72.54,168.31,0.3597,1.706,2,Tetra Pack
85,2016-08-22,2,Mother Dairy,Delhi,1407,1270,1274,596,52.46,32.98,66834.04,0.3713,96,69.32,189.86,0.3457,1.782,3,Tetra Pack
86,2016-08-29,2,Mother Dairy,Delhi,1440,1329,1293,528,52.92,32.41,68425.56,0.3876,113,74.71,186.48,0.3232,1.859,1,Tetra Pack
87,2016-09-05,2,Mother Dairy,Delhi,1224,1062,1070,571,53.6,33.14,57352.0,0.3817,67,71.84,165.59,0.3756,2.105,2,Tetra Pack
88,2016-09-12,2,Mother Dairy,Delhi,1335,1186,1133,617,52.78,32.63,59799.74,0.3818,109,71.14,189.13,0.3823,1.764,3,Tetra Pack
89,2016-09-19,2,Mother Dairy,Delhi,1225,1053,1047,574,52.76,33.35,55239.72,0.3679,31,74.56,171.44,0.2832,1.824,2,Refrigerated
90,2016-09-26,2,Mother Dairy,Delhi,1320,1059,1038,593,52.6,32.46,54598.8,0.3829,104,65.76,185.95,0.3077,2.294,2,Tetra Pack
91,2016-10-03,2,Mother Dairy,Delhi,1349,1055,1104,539,53.1,33.06,58622.4,0.3774,52,73.91,167.83,0.2091,1.699,3,Polythene Packet
92,2016-10-10,2,Mother Dairy,Delhi,1336,1386,1299,547,53.1,32.79,68976.9,0.3825,123,68.48,179.07,0.1708,1.641,1,Tetra Pack
93,2016-10-17,2,Mother Dairy,Delhi,1383,1379,1354,709,53.14,32.65,71951.56,0.3856,170,73.33,167.17,0.1505,2.132,2,Tetra Pack
94,2016-10-24,2,Mother Dairy,Delhi,1270,1134,1243,681,52.8,32.67,65630.4,0.3812,15,72.18,187.28,0.1963,1.636,1,Tetra Pack
95,2016-10-31,2,Mother Dairy,Delhi,1219,1063,1001,651,53.94,33.27,53993.94,0.3832,44,72.39,176.91,0.1382,1.833,1,Tetra Pack
96,2016-11-07,2,Mother Dairy,Delhi,1419,1232,1241,604,54.1,33.74,67138.1,0.3763,34,67.05,187.12,0.2276,2.091,2,Tetra Pack
97,2016-11-14,2,Mother Dairy,Delhi,1457,1303,1188,520,54.4,33.53,64627.2,0.3836,101,70.95,191.17,0.1398,1.639,1,Tetra Pack
98,2016-11-21,2,Mother Dairy,Delhi,1363,1126,1109,685,53.68,33.27,59531.12,0.3802,125,68.22,168.96,0.1443,1.165,2,Tetra Pack
99,2016-11-28,2,Mother Dairy,Delhi,1640,1440,1407,552,53.67,33.06,75513.69,0.384,239,74.45,170.87,0.1281,1.978,2,Refrigerated
100,2016-12-05,2,Mother Dairy,Delhi,1480,1385,1441,542,55.22,34.11,79572.02,0.3823,150,68.98,182.4,0.2003,1.775,3,Tetra Pack
101,2016-12-12,2,Mother Dairy,Delhi,1468,1320,1371,703,54.02,33.17,74061.42,0.386,132,74.67,178.16,0.2234,1.775,2,Refrigerated
102,2016-12-19,2,Mother Dairy,Delhi,1245,1132,1216,733,54.42,33.94,66174.72,0.3763,74,68.46,170.18,0.196,1.955,1,Tetra Pack
103,2016-12-26,2,Mother Dairy,Delhi,1281,1121,1084,661,54.89,32.95,59500.76,0.3997,89,66.7,186.55,0.1575,1.674,2,Tetra Pack
104,2017-01-02,2,Mother Dairy,Delhi,1624,1413,1344,577,55.45,34.2,74524.8,0.3832,202,72.46,183.14,0.1697,1.805,2,Tetra Pack
105,2017-01-09,2,Mother Dairy,Delhi,1392,1053,1208,657,55.15,34.49,66621.2,0.3746,24,69.92,188.05,0.4216,1.83,1,Tetra Pack
106,2017-01-16,2,Mother Dairy,Delhi,1421,1346,1330,531,55.35,34.67,73615.5,0.3736,31,72.94,178.95,0.1366,1.605,2,Polythene Packet
107,2017-01-23,2,Mother Dairy,Delhi,1431,1418,1420,551,56.7,35.23,80514.0,0.3787,16,67.53,180.52,0.2019,1.841,1,Tetra Pack
108,2017-01-30,2,Mother Dairy,Delhi,1665,1365,1369,738,55.82,34.79,76417.58,0.3767,23,70.6,188.69,0.2555,1.705,2,Tetra Pack
109,2017-02-06,2,Mother Dairy,Delhi,1669,1480,1462,672,56.35,34.97,82383.7,0.3794,12,68.64,175.59,0.1211,2.241,2,Refrigerated
110,2017-02-13,2,Mother Dairy,Delhi,1717,1536,1461,722,56.84,35.59,83043.24,0.3739,113,66.63,194.87,0.1713,1.797,1,Tetra Pack
111,2017-02-20,2,Mother Dairy,Delhi,1713,1592,1703,642,57.17,35.14,97360.51,0.3853,0,73.48,176.03,0.1345,1.658,2,Tetra Pack
112,2017-02-27,2,Mother Dairy,Delhi,1683,1633,1531,637,56.83,35.0,87006.73,0.3841,74,73.49,180.65,0.1297,1.745,3,Refrigerated
113,2017-03-06,2,Mother Dairy,Delhi,1650,1430,1416,556,56.45,34.8,79933.2,0.3835,64,65.58,176.17,0.187,1.872,2,Tetra Pack
114,2017-03-13,2,Mother Dairy,Delhi,1481,1386,1415,639,56.65,34.85,80159.75,0.3848,21,73.12,186.57,0.202,1.883,2,Tetra Pack
115,2017-03-20,2,Mother Dairy,Delhi,1825,1554,1491,592,56.89,35.5,84822.99,0.376,103,65.97,183.19,0.1681,1.785,2,Polythene Packet
116,2017-03-27,2,Mother Dairy,Delhi,1659,1361,1441,586,57.8,36.28,83289.8,0.3723,0,69.45,194.99,0.1338,1.839,3,Refrigerated
117,2017-04-03,2,Mother Dairy,Delhi,1698,1609,1560,648,56.49,34.77,88124.4,0.3845,12,70.11,178.2,0.1525,1.671,2,Tetra Pack
118,2017-04-10,2,Mother Dairy,Delhi,1660,1601,1565,561,56.36,35.16,88203.4,0.3762,93,69.84,181.5,0.1908,2.181,2,Tetra Pack
119,2017-04-17,2,Mother Dairy,Delhi,1761,1589,1517,572,57.51,35.64,87242.67,0.3803,169,68.54,183.1,0.1496,1.915,1,Polythene Packet
120,2017-04-24,2,Mother Dairy,Delhi,1833,1655,1676,719,57.44,35.58,96269.44,0.3806,107,68.74,174.99,0.1283,1.738,1,Tetra Pack
121,2017-05-01,2,Mother Dairy,Delhi,1698,1641,1648,669,56.81,35.39,93622.88,0.377,93,70.03,165.42,0.1756,1.933,1,Tetra Pack
122,2017-05-08,2,Mother Dairy,Delhi,1643,1525,1554,679,55.87,35.03,86821.98,0.373,54,70.63,167.99,0.1337,1.935,3,Tetra Pack
123,2017-05-15,2,Mother Dairy,Delhi,1515,1260,1156,667,56.24,35.28,65013.44,0.3727,152,70.25,179.31,0.1357,1.98,2,Refrigerated
124,2017-05-22,2,Mother Dairy,Delhi,1694,1511,1509,582,56.34,34.65,85017.06,0.385,187,70.04,191.82,0.2186,1.989,3,Refrigerated
125,2017-05-29,2,Mother Dairy,Delhi,1752,1491,1565,573,56.61,35.73,88594.65,0.3688,111,65.32,183.37,0.1908,2.227,2,Tetra Pack
126,2017-06-05,2,Mother Dairy,Delhi,1706,1507,1588,546,55.51,34.76,88149.88,0.3738,77,67.41,170.04,0.159,1.948,3,Tetra Pack
127,2017-06-12,2,Mother Dairy,Delhi,1684,1337,1272,632,55.44,34.94,70519.68,0.3698,149,65.94,187.63,0.1694,1.683,1,Tetra Pack
128,2017-06-19,2,Mother Dairy,Delhi,1648,1499,1617,721,56.06,35.03,90649.02,0.3751,9,65.39,165.43,0.1362,2.225,1,Tetra Pack
129,2017-06-26,2,Mother Dairy,Delhi,1791,1670,1557,616,55.64,34.67,86631.48,0.3769,125,73.58,176.74,0.2026,2.11,3,Tetra Pack
130,2017-07-03,2,Mother Dairy,Delhi,1485,1164,1170,582,55.82,34.9,65309.4,0.3748,47,74.15,168.77,0.2757,1.753,2,Tetra Pack
131,2017-07-10,2,Mother Dairy,Delhi,1456,1209,1141,518,54.31,34.12,61967.71,0.3718,157,71.79,179.12,0.4269,2.027,2,Tetra Pack
132,2017-07-17,2,Mother Dairy,Delhi,1698,1474,1461,619,53.57,33.5,78265.77,0.3746,198,67.01,172.03,0.2742,1.997,2,Tetra Pack
133,2017-07-24,2,Mother Dairy,Delhi,1302,1171,1171,565,54.11,33.46,63362.81,0.3816,203,74.06,188.52,0.324,1.686,2,Tetra Pack
134,2017-07-31,2,Mother Dairy,Delhi,1423,1387,1387,640,53.55,32.96,74273.85,0.3845,140,73.61,179.21,0.3141,1.891,2,Tetra Pack
135,2017-08-07,2,Mother Dairy,Delhi,1522,1345,1344,488,52.68,32.58,70801.92,0.3815,154,74.84,165.6,0.3049,1.767,2,Tetra Pack
136,2017-08-14,2,Mother Dairy,Delhi,1328,1160,1235,603,54.08,33.88,66788.8,0.3735,92,73.23,166.26,0.2752,1.885,2,Tetra Pack
137,2017-08-21,2,Mother Dairy,Delhi,1163,1039,1007,611,53.33,33.31,53703.31,0.3754,157,68.6,177.91,0.294,1.933,2,Tetra Pack
138,2017-08-28,2,Mother Dairy,Delhi,1341,1160,1160,529,53.8,33.0,62408.0,0.3866,169,73.74,175.77,0.3144,1.86,1,Refrigerated
139,2017-09-04,2,Mother Dairy,Delhi,1246,1097,1142,600,53.27,33.58,60834.34,0.3696,78,72.06,170.72,0.314,1.841,2,Tetra Pack
140,2017-09-11,2,Mother Dairy,Delhi,1264,1087,1147,501,53.37,33.59,61215.39,0.3706,25,66.66,188.59,0.3015,1.76,1,Tetra Pack
141,2017-09-18,2,Mother Dairy,Delhi,1299,1017,1005,628,52.94,33.09,53204.7,0.375,60,70.21,179.63,0.3163,1.859,2,Tetra Pack
142,2017-09-25,2,Mother Dairy,Delhi,1328,1072,1082,596,52.76,33.05,57086.32,0.3736,98,68.65,192.13,0.3077,2.137,2,Tetra Pack
143,2017-10-02,2,Mother Dairy,Delhi,1422,1424,1383,636,53.36,33.37,73796.88,0.3746,157,73.93,170.82,0.1201,1.75,1,Polythene Packet
144,2017-10-09,2,Mother Dairy,Delhi,1521,1333,1444,636,54.16,33.6,78207.04,0.3796,0,66.72,173.36,0.1254,2.048,1,Tetra Pack
145,2017-10-16,2,Mother Dairy,Delhi,1247,1167,1136,595,52.74,32.41,59912.64,0.3855,15,69.18,181.78,0.1506,1.873,1,Tetra Pack
146,2017-10-23,2,Mother Dairy,Delhi,1534,1326,1315,691,53.01,33.52,69708.15,0.3677,18,67.87,180.02,0.2026,1.973,2,Tetra Pack
147,2017-10-30,2,Mother Dairy,Delhi,1527,1307,1273,739,53.46,33.14,68054.58,0.3801,46,67.52,176.11,0.1728,2.076,1,Tetra Pack
148,2017-11-06,2,Mother Dairy,Delhi,1528,1227,1175,482,53.56,33.64,62933.0,0.3719,131,73.06,168.97,0.2889,1.899,2,Tetra Pack
149,2017-11-13,2,Mother Dairy,Delhi,1460,1217,1298,579,53.3,33.28,69183.4,0.3756,5,67.46,165.27,0.1295,2.016,1,Tetra Pack
150,2017-11-20,2,Mother Dairy,Delhi,1529,1227,1089,682,53.43,33.47,58185.27,0.3736,133,69.53,180.39,0.1762,2.083,2,Tetra Pack
151,2017-11-27,2,Mother Dairy,Delhi,1394,1453,1309,577,54.47,34.43,71301.23,0.3679,303,70.34,185.37,0.1276,2.01,3,Tetra Pack
152,2017-12-04,2,Mother Dairy,Delhi,1415,1278,1317,585,53.97,33.38,71078.49,0.3815,236,66.05,183.37,0.1927,2.324,2,Refrigerated
153,2017-12-11,2,Mother Dairy,Delhi,1582,1407,1422,687,53.52,32.79,76105.44,0.3873,275,72.5,180.3,0.1294,2.121,1,Refrigerated
154,2017-12-18,2,Mother Dairy,Delhi,1484,1426,1383,667,54.83,34.21,75829.89,0.3761,348,67.97,175.63,0.128,1.895,3,Polythene Packet
155,2017-12-25,2,Mother Dairy,Delhi,1515,1382,1433,653,54.01,33.59,77396.33,0.3781,285,72.77,183.78,0.1274,1.882,2,Tetra Pack
156,2018-01-01,2,Mother Dairy,Delhi,1641,1421,1537,649,54.96,33.9,84473.52,0.3832,188,69.04,171.23,0.1414,1.875,2,Refrigerated
157,2018-01-08,2,Mother Dairy,Delhi,1620,1417,1479,663,55.6,33.74,82232.4,0.3932,120,68.58,173.72,0.1484,1.793,2,Polythene Packet
158,2018-01-15,2,Mother Dairy,Delhi,1633,1361,1396,645,56.52,35.15,78901.92,0.3781,67,68.64,193.78,0.1251,1.599,2,Refrigerated
159,2018-01-22,2,Mother Dairy,Delhi,1718,1547,1603,702,56.05,35.1,89848.15,0.3738,29,69.32,181.16,0.1619,1.802,2,Tetra Pack
160,2018-01-29,2,Mother Dairy,Delhi,1634,1672,1465,538,55.85,34.72,81820.25,0.3783,234,67.05,170.45,0.1514,1.847,1,Refrigerated
161,2018-02-05,2,Mother Dairy,Delhi,1769,1594,1759,505,56.74,34.91,99805.66,0.3847,15,69.56,167.14,0.1344,1.731,2,Tetra Pack
162,2018-02-12,2,Mother Dairy,Delhi,1698,1567,1545,624,56.48,35.17,87261.6,0.3773,13,66.84,178.29,0.1344,2.079,1,Polythene Packet
163,2018-02-19,2,Mother Dairy,Delhi,1602,1646,1432,671,55.77,34.71,79862.64,0.3776,200,65.11,172.27,0.1294,1.713,2,Tetra Pack
164,2018-02-26,2,Mother Dairy,Delhi,1710,1395,1490,537,57.0,35.01,84930.0,0.3858,134,72.57,183.32,0.1704,1.765,2,Tetra Pack
165,2018-03-05,2,Mother Dairy,Delhi,1886,1683,1768,607,56.95,34.84,100687.6,0.3882,115,73.77,191.03,0.1238,1.582,2,Tetra Pack
166,2018-03-12,2,Mother Dairy,Delhi,1578,1314,1368,660,57.23,35.27,78290.64,0.3837,98,65.48,177.24,0.2156,1.668,2,Tetra Pack
167,2018-03-19,2,Mother Dairy,Delhi,1861,1666,1678,478,57.93,35.84,97206.54,0.3813,44,67.14,165.17,0.1468,1.774,1,Refrigerated
168,2018-03-26,2,Mother Dairy,Delhi,1796,1706,1688,637,56.78,35.27,95844.64,0.3788,34,72.87,175.17,0.15,2.062,3,Tetra Pack
